Title,Kilde,Collection,State,Description,Body (rik tekst),Url
Denne låten ble spilt over 313 timer,Aktuelt-sak,Artikler (Aktuelt),Published,Denne låten ble spilt over 313 timer,"Den norske låten The Ballet Girl med Aden Foyer ble spilt nærmere 6000 ganger i fjor. Nordmannen troner med dette øverst på listen over mest spilte norske låter. Det er absolutt hinsides at The Ballet Girl er den mest spilte norske låten på radio, sier Aden Foyer. Mest spilt på norsk: Den mest spilte låten med norsk tekst er Danser videre i livet med Hkeem og Makosir. Samlet sett var 40 prosent av musikken spilt på radio i fjor norsk og P1, P3 og distriktskanalene spilte mer enn 50 prosent norsk musikk gjennom året.",https://www.gramo.no/aktuelt/denne-laten-ble-spilt-over-313-timer
Mannlige artister dominerer fortsatt,Aktuelt-sak,Artikler (Aktuelt),Published,Mannlige artister dominerer fortsatt,"8 av de 10 mest spilte artistene på norsk radio er menn, viser fersk statistikkrapport fra Gramo. Bare Astrid S og Dagny har fått plass på listen over de mest spilte artistene på radio i 2022. Ellers består den utelukkende av menn, med Ed Sheeran, Kygo og The Weeknd på henholdsvis første, andre og tredjeplass. Mannlige artister også på låt-toppen: Også på oversikten over de meste spilte låtene, er det menn som dominerer. Blir tema på årets by:Larm: Som ellers i samfunnet, er kjønnsbalanse også et viktig og sentralt tema i musikkbransjen, sier daglig leder i Gramo, Kim Skarning Andersen.",https://www.gramo.no/aktuelt/mannlige-artister-dominerer-fortsatt
De 100 mest spilte låtene på lokalradio i 2023,Aktuelt-sak,Artikler (Aktuelt),Published,De 100 mest spilte låtene på lokalradio i 2023,"Ed Sheeran med Eyes Closed var den mest spilte låta på lokalradio i 2023. Den har blitt spilt hele 504 timer og 32 minutter. Det var Miley Cyrus med Flowers som toppet på riksdekkende radio, mens Aden Foyer og låta The Ballet Girl var blant topp tre på både på riksdekkende og lokalradio.",https://www.gramo.no/aktuelt/de-100-mest-spilte-latene-pa-lokalradio-i-2023
Kygo mest spilte artist for fjerde året på rad,Aktuelt-sak,Artikler (Aktuelt),Published,Kygo mest spilte artist for fjerde året på rad,"Med hele 38 ulike låter, og over 1 000 timer på luften, befester Kygo posisjonen som den mest spilte norske artisten på norske radiokanaler, for fjerde året på rad. Det er låter som Higher Love, Gone Are The Days og Dancing Feet, som løfter DJ-en fra Bergen til toppen av listen. Dancing Feet alene ble spilt 4 872 ganger i løpet av fjoråret, med en samlet spilletid på over 282 timer. Kun slått av Ed Sheeran: Ser vi bort fra nasjonalitet, er Kygo kun overgått av én internasjonal artist. Ed Sheeran fikk over 19 500 avspillinger av sine låter, og mer enn 1 100 timer spilletid. Astrid S er eneste kvinne blant topp 5.",https://www.gramo.no/aktuelt/kygo-mest-spilte-artist-for-fjerde-aret-pa-rad
Aktuelt,Webflow,Artikler (Aktuelt),Published,,"Nyeste artikkel: TONO og Gramo samordner rettighetshåndtering for bakgrunnsmusikk. Over 16 000 norske virksomheter får en enklere hverdag når TONO og Gramo samordner sine tjenester innen bakgrunnsmusikk. Alle bedrifter og organisasjoner som bruker innspilt musikk på offentlig sted vil fra 1. september få alle tjenester samlet på ett sted, og felles faktura fra begge organisasjoner fra 1. januar 2026. Andre aktuelle saker: Gramo 2024: Teknologisk løft og rekordutbetalinger til rettighetshavere, Dette lyttet vi til i 2024, De 100 mest spilte låtene på lokalradio i 2023, og flere.",https://www.gramo.no/aktuelt
Gramos juleutbetaling på konto i dag!,Aktuelt-sak,Artikler (Aktuelt),Published,Gramos juleutbetaling på konto i dag!,"Årets siste utbetaling fordeler 23,1 millioner til norske artister, produsenter og plateselskap. Tradisjonen tro gjennomfører Gramo en utbetaling før jul. Denne gangen er summen på hele 23,1 millioner kroner. 13,9 millioner av disse går til utøvere av innspilt musikk og 9,2 millioner til personlige produsenter og selskap med masterrettigheter. Dette er med på desember-utbetalingen: Kringkasting 2019 – 2022, Overføring til allmenheten i 2019 – 2022, Penger fra utlandet.",https://www.gramo.no/aktuelt/gramos-juleutbetaling-pa-konto-i-dag
Vil at bransjen stiller krav til kjønnsbalanse,Aktuelt-sak,Artikler (Aktuelt),Published,Vil at bransjen stiller krav til kjønnsbalanse,"En jevnere kjønnsbalanse som betingelse for pengestøtte når man arrangerer konserter og festivaler, var blant forslagene som ble drøftet under årets by:larm. Når situasjonen er alvorlig, synes jeg noen må bestemme noe strengt, sier Christine Dancke. Den profilerte DJen, musikkanmelderen og programlederen var moderator da Gramo, AKKS og Balansekunst inviterte til panelsamtalen Slutt på pekeleken – hvordan fikse kjønnslikestilling i musikkbransjen under by:larm. Vekket debatten: Bakteppet for å sette likestilling på festivalprogrammet, er flere eksempler den siste tiden på hvordan kvinner blir stemoderlig behandlet i musikkbransjen. I april i år skapte det debatt da ingen kvinner ble nominert i kategorien Årets låt under Spellemannsprisen. Må reflektere virkeligheten: Det er viktig at verden reflekteres i den musikken vi får. Og når såpass få kvinner er involvert i å lage den, når de mangler i alle ledd, så reflekterer det ikke den verden vi lever i, sier Dancke.",https://www.gramo.no/aktuelt/vil-at-bransjen-stiller-krav-til-kjonnsbalanse
Sommerutbetaling,Aktuelt-sak,Artikler (Aktuelt),Published,Sommerutbetaling,"Tradisjonen tro har vi gjennomført en etteravregning før sommeren, denne gangen på 20,6 millioner kroner. 11 millioner av disse ble avregnet til utøvere og 9,6 millioner ble avregnet til produsenter. Dette er med i juni-utbetalingen: Kringkasting 2019 - 2022, Offentlig fremføring 2019 - 2022, Hovedavregning lokalradio 2022, Penger fra utlandet.",https://www.gramo.no/aktuelt/sommerutbetaling
Gramo 2024: Teknologisk løft og rekordutbetalinger til rettighetshavere,Aktuelt-sak,Artikler (Aktuelt),Published,Gramo 2024: Teknologisk løft og rekordutbetalinger til rettighetshavere,"Gramo har lagt bak seg et innholdsrikt år med teknologisk fornyelse, styrket forvaltning og økte utbetalinger til rettighetshaverne. Mer enn 150 millioner kroner utbetalt individuelt: Gjennom året ble det utbetalt totalt 73,6 millioner kroner til utøvende kunstnere og 76,6 millioner kroner til produsenter av lydopptak. Sterk økonomi og ny teknologi: Gramos driftsinntekter endte på 266,4 millioner kroner. Bedre innsikt i musikkbruken: En ny undersøkelse blant norske butikker, serveringssteder og treningssentre gjør at Gramo har oversikt over hvilke kilder som brukes. Oppdatert regelverk og ny klageordning: I 2024 vedtok styret et nytt fordelingsreglement. Ny strategi og samlokalisering med TONO: Gramo har vedtatt en ny strategiplan for 2025–2027.",https://www.gramo.no/aktuelt/gramo-2024-teknologisk-loft-og-rekordutbetalinger-til-rettighetshavere
Chris Holsten leverte fjorårets mest spilte låt på norsk,Aktuelt-sak,Artikler (Aktuelt),Published,Chris Holsten leverte fjorårets mest spilte låt på norsk,"Holstens Slå Hjerte, Slå var den mest spilte norskspråklige låten på radio i 2022. Han innehar også andreplassen på samme liste med Smilet I Ditt Eget Speil. Samlet fikk de to Holsten-låtene over 500 timer spilletid på luften. Slå Hjerte, Slå ble spilt 4 997 ganger og fikk dermed drøye 263 timer spilletid. Steinbakken øverst blant kvinnelige artister: Første kvinnelige artist på listen finner vi rett bak Holsten. Der, på en tredjeplass, er Emma Steinbakken med Hellbillies-coverlåten Jeg Glemmer Deg Aldri.",https://www.gramo.no/aktuelt/chris-holsten-leverte-fjorarets-mest-spilte-lat-pa-norsk
Kunstig intelligens vil endre musikkbransjen,Aktuelt-sak,Artikler (Aktuelt),Published,Kunstig intelligens vil endre musikkbransjen,"Tusen nye Karpe-låter hver eneste dag? Med polka-rytmer og Britney som korist, alt tilpasset din egen sinnsstemning? - Det eneste som hindrer det er jussen, sier Ankit Desai. Han mener AI vil forandre alt. Akkurat som da internett kom, vil kunstig intelligens endre hele verdikjeden, sier Ankit Desai. Gjør musikkproduksjon tilgjengelig: Ved bruk av AI kan man erstatte 2 eller 3 av rollene i musikkproduksjon, så det blir mye mer tilgjengelig for folk å skape bra musikk. Et usikkert juridisk landskap: Per i dag er det usikkert hvilke konkrete rettigheter artister har, dersom noen bruker AI for å lage nye låter basert på deres musikk. Gramo er på saken: Vi arbeider aktivt med juridiske problemstillinger knyttet til AI og opphavsrett, sier daglig leder Kim Skarning Andersen.",https://www.gramo.no/aktuelt/kunstig-intelligens-vil-endre-musikkbransjen
Mer korrekt fordeling til rettighetshavere,Aktuelt-sak,Artikler (Aktuelt),Published,Mer korrekt fordeling til rettighetshavere,"Gramo har etablert en ny og mer presis måte å fordele vederlag fra bruk av innspilt musikk på offentlig sted (butikker, kaféer, restauranter, treningssentre o.l.). Omfattende undersøkelse om musikkilder: Som en del av vårt arbeid med kontinuerlig forbedring av vederlagsfordelingen, gjennomførte Gramo, sammen med TONO, i fjor høst en omfattende undersøkelse. Hovedfunn: 60% bruker strømmetjenester som hovedkilde for innspilt musikk, Spotify er den desidert mest brukte strømmetjenesten, 35% oppgir radio som primærkilde. Bedre datagrunnlag gir mer korrekt fordeling: Basert på undersøkelsen, har Gramo inngått avtaler med musikkleverandørene Liveqube og Soundtrack Your Brand. 103,6 millioner kroner utbetalt i mars.",https://www.gramo.no/aktuelt/mer-korrekt-fordeling-til-rettighetshavere
"Echo - hjertet i Gramo som pumper informasjon, penger og andre verdier",Aktuelt-sak,Artikler (Aktuelt),Published,"Echo - hjertet i Gramo som pumper informasjon, penger og andre verdier","Echo er det tekniske systemet som sørger for at Gramo kan avregne og fordele vederlag individuelt til rettighetshaverne når for eksempel radiostasjonene bruker innspilt musikk. En av Echos viktigste oppgaver er å koble rapportene over hvilken musikk som er brukt mot Gramos registre over innspillinger, og hvem som har rettigheter til hver enkelt innspilling. 88 radiokanaler i 2022: I 2022 tok Echo imot rapporter på musikkbruk fra 88 radiokanaler. Musikkbruk i butikker, hoteller, restauranter: Fra sommeren 2022 kan vi utbetale penger fordelt på bakgrunn av hvilken musikk de forskjellige bedriftene spiller. Koblet på resten av verden: Echo er også koblet til Repertoir Data Exchange (RDx), Virtual Recording Database (VRDB), og International Performers Database (IPD).",https://www.gramo.no/aktuelt/echo-hjertet-i-gramo-som-pumper-informasjon-penger-og-andre-verdier
Gramos årsmøte,Aktuelt-sak,Artikler (Aktuelt),Published,Gramos årsmøte,"På mandag 5. juni ble Gramos årsmøte avholdt på Popsenteret i Oslo. Møtet ble gjennomført med en hybridløsning, hvor påmeldte medlemmer enten kunne være fysisk til stede eller delta digitalt. Møtet ble åpnet av Gramos styreleder, Cathrine Nagell som også introduserte Gramos nye daglige leder, Kim Skarning Andersen, som startet 1. mars. Andersen presenterte også nøkkeltallene i årsregnskapet for 2022, som viser et nytt år med rekordresultat i Gramo.",https://www.gramo.no/aktuelt/gramos-arsmote
Åtte av ti mest spilte artister var menn,Aktuelt-sak,Artikler (Aktuelt),Published,Åtte av ti mest spilte artister var menn,Også i 2023 dominerer mennene topplisten. De to kvinnene på listen er norske og med dette markerer Emma Steinbakken og Dagny sin plass i toppsjiktet. Den ferske statistikkrapporten fra Gramo viser at åtte av de ti mest spilte hovedartistene i 2023 var menn. Det var tilfellet også året før. Norske Emma Steinbakken og Dagny er de eneste kvinnene som har fått plass på topp ti-listen.,https://www.gramo.no/aktuelt/atte-av-ti-mest-spilte-artister-var-menn
Dette lyttet vi til i 2024,Aktuelt-sak,Artikler (Aktuelt),Published,Dette lyttet vi til i 2024,"Gramo lanserer årets radiostatistikk: Hvilke låter dominerte på radio i 2024? Josefin – årets radio-låt: Amanda Delaras norske versjon av Albin Lee Meldaus Josefin ble årets mest spilte låt, med hele 654 timer, 2 minutter og 34 sekunder på lufta. Kygo tilbake på toppen: Kygo er igjen mest spilte norske hovedartist – med over 1690 timer og 40 minutters spilletid fordelt på 59 låter. Kvinner markerer seg: Bare 3 av de 10 mest spilte hovedartister var kvinner. Blant de 10 mest spilte norske hovedartistene var 5 kvinner. Norsk musikk dominerer flere kanaler: I snitt var 39,3 prosent av musikken som ble spilt på radio i 2024 norsk.",https://www.gramo.no/aktuelt/dette-lyttet-vi-til-i-2024
Emma Steinbakken overtar som mest spilte norske artist på radio,Aktuelt-sak,Artikler (Aktuelt),Published,Emma Steinbakken overtar som mest spilte norske artist på radio,"Hun vipper dermed Kygo ned fra tronen som den mest spilte norske artist på radio, en posisjon han har holdt de siste 8 årene. Det er låter som Jeg glemmer deg aldri, Used To Love You og ikke minst cover-versjonen av Bjørn Eidsvaags Floden fra TV2-programmet Hver Gang Vi Møtes, som løfter Steinbakken til toppen av listen. 9 timer mer enn Kygo: Steinbakken hadde 30 innspillinger i rotasjon på norsk radio i året som gikk. Samlet sett fikk låtene hennes 14.486 avspillinger og over 740 timer spilletid på luften. Bare slått av The Weeknd: Ser man bort fra nasjonalitet er Steinbakken bare overgått av én internasjonal artist.",https://www.gramo.no/aktuelt/emma-steinbakken-overtar-som-mest-spilte-norske-artist-pa-radio
Nytt rekordår for Gramo!,Aktuelt-sak,Artikler (Aktuelt),Published,Nytt rekordår for Gramo!,"Vi er stolte av å kunngjøre et imponerende rekordår i 2022 med en vekst på 10 prosent. Totalt ble 151 millioner vederlagskroner fordelt til rettighetshaverne, noe som utgjør en økning på 14 millioner kroner sammenlignet med året før. 2022 endte med driftsinntekter på 237 millioner kroner, og et resultat på 197 millioner kroner. Solid økning i bedrifters musikkbruk: Musikkbruken i hoteller, butikker og på serveringssteder er tilbake på samme nivå som før koronapandemien. Gramo har hatt en økning på hele 23 % innenfor dette området. Også vekst innenfor kringkasting: Kringkastingsområdet har også bidratt til en fin vekst, med en økning på 8 millioner kroner i 2022. Økt satsning på internasjonalt samarbeid.",https://www.gramo.no/aktuelt/nytt-rekordar-for-gramo-i-2022
Gramo-penger til flere,Aktuelt-sak,Artikler (Aktuelt),Published,Gramo-penger til flere,"Nye rapporter fra butikker, kaféer, treningssentre og lignende gjør at flere nå får utbetaling fra Gramo. Det er over 1.300 musikere, artister og plateselskap på 1.200 låter som har opptjent Gramo-penger kun på bakgrunn det nye rapporteringsgrunnlaget. 77% av låtene er forskjellige: Hvis vi ser på de 100 låtene som har flest spillinger i rapportgrunnlaget for butikker, kaféer, treningssentre og lignende, er bare 23 av disse låtene inne på topp 100 for radio. Liveqube leverer rapporter til Gramo: Liveqube er et norsk selskap bestående av tidligere utøvende musikere som kuraterer musikk og lager musikkstrategier for sine kunder.",https://www.gramo.no/aktuelt/gramo-penger-til-flere
Gramo på Bylarm,Aktuelt-sak,Artikler (Aktuelt),Published,Gramo på Bylarm,"Kunstig intelligens og likestilling i musikkbransjen er blant temaene Gramo vil løfte frem under årets konferanse. By:larm holdes i år mellom 14. og 16. september i Oslo. Gramo vil i år presentere tre sesjoner: AI will change everything, Slutt på pekeleken – hvordan fikse kjønnslikestilling i musikkbransjen?, Your rights, new income. Kunstig intelligens og musikkindustrien: Forsker Daniel Johansson og advokat Silje Strandengen vil drøfte hvordan kunstig intelligens vil påvirke musikkbransjen. Tar likestillingen på alvor: Panelsamtale med Samsaya Sampda Sharma, Lena Midtveit, Emily-Madelen Harbakk og George Ofori. Moderator: Christine Dancke.",https://www.gramo.no/aktuelt/gramo-bylarm-2023
Kreditering,Webflow,Fotografer,Published,,Her finner du en oversikt over hvem som har tatt fotografiene vi har på nettsiden vår.,https://www.gramo.no/kreditering
Gramo,Webflow,Forside,Published,Har du blitt spilt på radio? Motta penger fra oss.,"Spilles du på radio? ... på butikken, kaféen eller treningssenteret? Da kan du få utbetaling fra oss. 42 000+ artister, musikere og plateselskap er allerede medlem i Gramo. Sjekk hva du kan få utbetalt. Gramo tildeler ISRC - International Standard Recording Code (ISRC) er en unik kode som identifiserer hver enkelt innspilling. Musikk i bedriften? Bruker du musikk som er hørbar for dine kunder og gjester?",https://www.gramo.no
Retten til å få betalt for din musikk,Intercom,,Draft,,"Du og ditt selskap har rett til å få betalt fra Gramo når lydopptak, som regel et stykke musikk i en eller annen form, blir gjort tilgjengelig for allmennheten.

Men det er et par kriterier som må være på plass:

- Du og/eller selskapet må ha opphavrett i lydopptaket. (Hvordan får man det?)

- Opptaket må være beskyttet av åndsverkloven paragraf 21

Du eller ditt selskap må ha opphavsrett til innspillingen.

ditt selskap har rett til å få betalt når

 tilgjengeliggjør musikk som du eller ditt foretak har opphavsrett. Et opptak er beskyttet av når artister eller produsenter (master-eiere) er:

- Norsk statsborger eller bosatt i Norge

- Borger til, eller bosatt i et EU / EØS-land

- Selskap med norsk styre eller bosatt i Norge

- Bedrift bosatt i et EU / EØS-land

- Selskap bosatt i land som anerkjenner Roma-konvensjonen

Det er tilstrekkelig at en utøver på et opptak oppfyller ett av de ovennevnte for at opptaket skal beskyttes.

Med andre ord er et opptak beskyttet hvis:

- utøvere eller produsenter (master-båndeiere) er statsborgere i, eller har fast adresse i EU eller i land som anerkjenner EØS-avtalen

- plateprodusenten er registrert i et land som anerkjenner Roma-konvensjonen.",
Slik får du utbetalt penger som arving i Gramo,Intercom,,Draft,Her får du vite hva du må gjøre for å at vi skal kunne utbetale penger den avdøde har opptjent i Gramo.,Dessverre er det flere ting som må ordnes når en av dine nærmeste dør. Her får du vite hva du må gjøre for å at vi skal kunne utbetale penger den avdøde har opptjent i Gramo.,
Legge til musikere eller utøvere på en innspilling,Intercom,Min side,Draft,Her kan du se hvordan du legger til musikere eller utøvere på en innspilling.,"For å legge til en musiker eller utøver på en innspilling:

- Gå til innspillinger i din diskografi på Min side.

- I listen over innspillinger, trykk på ønsket innspilling for å se detaljert informasjon om den.

- Gå til seksjonen ""Utøvere""

- Trykk på ""Rediger""

- Trykk på ""Legg til Utøver""

*NB! Utøveren må være registrert hos Gramo for at du skal få gjort dette.
Dersom utøveren ikke er registrert, kan utøveren selv melde seg inn og legge seg til innspillingen.*
​

- Når du er ferdig trykker du på ""Lagre""",
Søk med søkeforslag i Min side,Intercom,Min side,Draft,Slik fungerer søk med søkeforslag i Min side,"🔍 For å søke i Min side må du finne forstørrelsesglasset og trykke på det. Når du begynner å skrive får du opp søkeforslag som dette 👇
​

I søkeforslaget får du opp tre kategorier:
​

1. Min diskografi: Her dukker søketreff som finnes i din diskografi opp.

2. Gramos Diskografi: Her dukker søketreff som finnes i Gramo sin diskografi, men ikke i din diskografi opp.

​",
How to download detailed distribution specifications via Min Side.,Intercom,Min side,Draft,Payment and detailed distribution specifications via Min Side.,,
Opprette og registrere en utgivelse eller innspilling,Intercom,Min side,Draft,Slik går du frem for å opprette og registrere en ny utgivelse og innspilling til din diskografi.,"Hvem skal opprette innspillingen?

Avklar hvem som skal opprette eller registrere innspillingen du har vært med på.

- Er det du eller en annen i som har vært med på innspillingen?

- Er det kanskje plateselskapet eller den digitale distributøren?

- Er det de som har mastret innspillingen?

- Eller er det noen andre?

Slik oppretter du en innspilling eller utgivelse i Min side

For å opprette eller registrere en utgivelse eller innspilling i din diskografi må du gjøre følgende i Min side:

🔍 Søk først etter utgivelsen du ønsker å opprette eller registrere. Trykk på forstørrelsesglasset i Min side. Når du begynner å skrive får du opp søkeforslag som dette 👇
​

✅ Fant du utgivelsen eller innspillingen? – Da kan du redigere og oppdatere den du fant. Trykk på utgivelsen eller innspillingen og rediger den ✏️

🧐 Fant du ikke utgivelsen eller innspillingen? – Da kan du opprette en ny.
Trykk på knappen Opprett en ny utgivelse som du finner på din diskografi, og følg stegene der.

Søk med søkeresultater – les mer her",
Merverdiavgift på fakturaen fra Gramo,Intercom,Faktura,Draft,Fra 1. januar 2022 kommer det 25 % merverdiavgift (mva) på fakturaen fra Gramo – det har Skattedirektoratet bestemt.,"Skatteetaten har bestemt at vederlag Gramo oppkrever er å anse som omsetning etter merverdiavgiftsloven (mva). Videre har Skatteetaten gitt tilbakemelding om at de jobber med en lovendring for å tilpasse regelverket og at de vil søke å foreslå praktikable og gode regler på dette området. Nytt regelverk foreligger pt. ikke (per 20. august 2024). Samtidig har Gramo fått muntlige forsikringer om at det internt i Skatteetaten er gitt instrukser om ikke å igangsette ettersyn som følge av manglende oppkreving av merverdiavgift inntil nytt regelverk er på plass

Historikk, bakgrunn og generell informasjon om Gramo og merverdiavgift finner du her",
"Jeg har fått faktura for hele året, men har hatt stengt.",Intercom,Faktura,Draft,Vi reduserer fakturaen hvis bedriften din vært stengt,"Vi reduserer fakturaen hvis bedriften din har vært stengt

Fyll ut skjema for stengt periode

Dersom du har spørsmål – send oss en melding eller ring oss på 22 00 77 97.",
Kollektive midler i Gramo,Intercom,Regler og vedtekter,Draft,I snitt utbetaler Gramo 90 prosent av pengene direkte til Gramos medlemmer. De resterende 10 prosentene blir såkalte “kollektive midler”,"Hva er kollektive midler?

- Vederlag under minstegrensen

- Vederlag som Gramo ikke får utbetalt individuelt innen tre år

Det fremgår av Åndsverkloven § 21 at krav på vederlag ""...må fremsettes innen tre år etter utløpet av det år opptaket ble fremført.""

Dette er angitt i forskriftene til åndsverkloven:

«Individuelt årlig beløp som utgjør mindre enn 0,5 pst. av folketrygdens grunnbeløp avrundet oppad til nærmeste hele tikrone, utbetales ikke. Beløp under denne grensen disponeres av organisasjonen til formål som organisasjonen fastsetter. Foreldede vederlag disponeres på samme måte».

Vederlag under minstegrensen

Når det gjelder minstegrensen, sier forskriften at vederlag under 0,5 prosent av G per år ikke skal utbetales. Gramo ønsker imidlertid å utbetale så mye som mulig, derfor har vi vedtatt at vederlaget kan akkumuleres opp til minimumsbeløpet på 300 kroner i løpet av tre år.

Hvis man i løpet av tre år har opptjent 300 kroner per medlemskap (utøver og/eller master-eier), får man altså pengene utbetalt allikevel.

Hvis vederlag for 3 år per medlemskap (utøver og/eller master-eier) ikke overstiger 300 kroner, blir disse pengene til kollektive midler.

Foreldede vederlag

Forskriften sier at foreldede vederlag også blir kollektive midler. Hva betyr så dette i praksis? Alle som er medlem i Gramo får pengene sine direkte når deres låter (innspilt musikk) har blitt brukt og opptjent vederlag. Når det er norske utøvere med på disse låtene, som ikke er medlem, blir de kontaktet og får pengene utbetalt når de har registrert seg hos Gramo. I tillegg blir det på flere låter avregnet vederlag til ukjente utøvere som av ulike årsaker ikke er oppgitt på coveret, i filen eller på annen måte har blitt innrapportert til Gramo. Disse pengene blir utbetalt når Gramo har identifisert de ukjente utøverne, eller blir altså kollektive midler dersom Gramo i løpet av foreldelsesfristen på 3 år (jf. Åvl § 21, 3. ledd), ikke klarer å finne de ukjente utøverne. Dette gjelder både for norske og utenlandske rettighetshavere. Vederlag til utlendinger blir utbetalt uavkortet via søsterorganisasjoner vi har inngått utvekslingsavtaler med i de respektive land.

Hva brukes de kollektive midlene til?

I henhold til forskriften skal midlene brukes til «formål organisasjonen fastsetter». I forarbeidene (Ot.prp. nr. 36 1988/1989) står det:

«Departementet viser her til de systemer for fordeling som er utviklet i våre naboland. Inntekter på utøversiden som ikke gir grunnlag for individuell fordeling, kan utbetales kollektivt til norske utøverorganisasjoner eller til andre formål til beste for norsk utøvende kunst (nedenfor benevnt kollektive formål), etter retningslinjer utarbeidet av organisasjonen. For å redusere omkostningene for administrasjon av ordningen, bør avregninger til utøvere ikke utbetales når de ikke overstiger et minstebeløp. Utredningen antyder en indeksregulert størrelse, f.eks. en bestemt andel av folketrygdens grunnbeløp, som en minimumsgrense. Departementet er enig i dette, og foreslår 0,5 prosent av folketrygdens grunnbeløp som minstegrense for årlige utbetalinger. Det utgjør i dag 155 kroner. Avregninger under minimumsgrensen bør gå til kollektive formål og administreres av organisasjonen. Uavhentede avregnede vederlag foreldes etter tre år, i samsvar med den alminnelige foreldelsesfrist, og skal da benyttes til kollektive formål"".

Gramo-styrets sektorer (utøversektor og produsentsektor) fordeler de kollektive midlene i Gramo i henhold til disse reglene.

Kollektive midler er regulert i Gramos vedtekter, og i Gramos årsmelding vises det en detaljert oversikt over hva de kollektive midlene har gått til.

Ytterligere retningslinjer for kollektive midler er nedfelt i Gramos fordelingsreglement pkt. 8.",
Bli medlem som master-eier,Intercom,Medlemsskap,Draft,"Hvis du eier et fonogram og innehaver av opptaksrettighetene til det fonogrammet, kan du bli i Gramo.","Hvis du er eier av fonogram og rettighetshaver til opptak som kvalifiserer rett til vederlag i henhold til Norsk Lov om opphavsrett §21, kan du bli medlem og administrere disse rettighetene direkte med Gramo.

Rutiner og dokumentasjonskrav for regionale medlemmer

Fra 1. januar 2017 skal innspilligsrettigheter registreres på innspillingssnivå.

Følgelig må plateselskaper som tidligere har registrert komplette plateselskapskataloger, i fremtiden måtte registrere innspillinger individuelt, siden disse ikke lenger vil bli koblet automatisk til riktig rettighetshaver. Kun originale produkter som selskapet har alle rettigheter til, kan registreres uten behov for ytterligere dokumentasjon. Gramo vil trenge ytterligere informasjon for å registrere andre innspillinger som selskapet har ervervet rettigheter til gjennom avtale som distribusjon, lisens, etc. Dokumentasjonen må vise avtalens tildeling av rett, gyldighet og spesifisert innspillingsinformasjon.

Rutiner og dokumentasjonskrav for agenter, lisensinnehaver, osv.

Hvis rett til innsamling og administrasjon av vederlag har blitt ervervet gjennom avtale som agent, lisensgiver eller liknende, Gramo ha dokumentasjon på disse rettighetene ned til innspillingsnivå. Det tidligere alternativet om å kreve rett til hele kataloger er ikke lenger tilgjengelig uten at det tas med spesifikk innspillingsinformasjon i hvert krav. Oppdatering av innspillingsinformasjon kan kreve ny dokumentasjon / mandat.

Dokumentasjon må inneholde følgende opplysninger:

- Avtalens gyldighet, Startdato og sluttdato

- Tildeling av rett, Spesifisert informasjon om rett til innsamling og administrasjon av PP & B-rettigheter på norsk territorium

- Innspillinger, spesifikk liste over originale innspillinger som kvalifiserer rett til vederlag og som dokumentasjon / mandat gir rett til å samle inn og administrere PP & B rettigheter til.

Innlevering av opptak, som bevis i / eller som vedlegg til mandat, må inneholde følgende opplysninger:

- Label (original label for første utgivelse av innspilling)

- UPC (original strekkode for produkt)

- Katalog-nummer (Original katalog nummer på produkt)

- Format (Single, EP, Album)

- Utgivelsesdato (DD.MM.YYYY)

- Hovedartist

- Utgivelses-tittel

- Låt-tittel

- Spor versjon (Radio Edit, Album Version, Remix etc.)

- Varighet (TT:MM:SS)

- ISRC, fra første opprinnelige utgivelse

- P-Linje (må inkludere Rettighetshaver/Selskap og år for oppkjøp/mastring)

Vær oppmerksom på at det ikke er nødvendig å registrere alle utgitte produkter hvis de er av samme innspillingsrepertoar.

Vederlaget er knyttet til innspillingen, IKKE utgivelsesproduktet. Første utgitte produkt av innspillingen er tilstrekkelig. Gramo ønsker å matche spilltid til de samme originale innspillingsdataene som er rapportert spilt av kringkaster.

Re-utgivelser, samlealbum og re-mastrede produkter legger ikke til noen nye rettigheter i henhold til norsk lov om opphavsrett §21.

Følgelig er dette ikke å sees på som en generell registrering av komplette utgitte kataloger, men bare av de innspillinger som du har rett til vederlag for når lydopptak spilles i radio- og tv-sendinger, samt offentlige steder.",
Stemmerett og fullmakt på årsmøtet,Intercom,Om Gramo,Draft,,"Stemmerett

Artist og musiker (utøver):

- For å få stemmerett må du ha fått utbetalt vederlag i løpet av de tre siste årene før årsmøtet.

Plateselskap og mastereier (produsent):

- For å få stemmerett må du ha opptjent vederlag det siste året før årsmøtet.

Les mer om stemmerett i våre vedtekter

Fullmakt

Du kan gi fullmakt til annen person, eller enhet som for eksempel GramArt, Creo, IFPI eller FONO.

Les mer om fullmakt i våre vedtekter

Fristen for å gi fullmakt til årsmøtet 2022 gikk ut 31. mai kl. 15",
Forslag til årsmøtet,Intercom,Om Gramo,Draft,Alle medlemmer har rett til å sende inn forslag.,"Alle medlemmer har rett til å sende inn forslag.

Frist for å sende forslag til årsmøtet er 28. februar.

Send forslag på e-post til forslag@gramo.no",
